sample_id,seeker_id,dialogue_id,split,relationship_label,gold_action,relationship_source,confidence,rationale,is_synthetic,intensity,ltp_signal,sti_signal,original_context,modified_context
426/3/104253,11,426,train,Uncertain,Prioritize_STI,weak_rule,0.6,"cold seeker: no cross-session LTP, STI available",False,0,,Drama:0.50; Romance:0.50,Recommender: Hey! What kind of movies do you like to watch? | Seeker: I'm really big on indie romance and dramas | Recommender: Ok what's your favorite movie?,
426/11/141524,11,426,train,Uncertain,Prioritize_STI,weak_rule,0.6,"cold seeker: no cross-session LTP, STI available",False,0,,Comedy:0.22; Drama:0.20; Horror:0.19,Seeker: But now I'm more along the lines of  The Martian  (2015) or just interesting content like that | Seeker: I have a movie bud. She loves comedies like Bad Moms (2016) and is always trying to drag me to stuff like that. | Seeker: What about you. What are your favorites? | Recommender: Oh no! I don't always mind comedies like that but I have to be in the mood.,
426/13/106388,11,426,train,Uncertain,Prioritize_STI,weak_rule,0.6,"cold seeker: no cross-session LTP, STI available",False,0,,Comedy:0.22; Drama:0.20; Horror:0.19,Seeker: What about you. What are your favorites? | Recommender: Oh no! I don't always mind comedies like that but I have to be in the mood. | Recommender: Neighbors  (2014) wasn't too bad | Seeker: Yeah for sure. And I really don't want to see any more Kevin Hart movies!,
426/13/153918,11,426,train,Uncertain,Prioritize_STI,weak_rule,0.6,"cold seeker: no cross-session LTP, STI available",False,0,,Comedy:0.22; Drama:0.20; Horror:0.19,Seeker: What about you. What are your favorites? | Recommender: Oh no! I don't always mind comedies like that but I have to be in the mood. | Recommender: Neighbors  (2014) wasn't too bad | Seeker: Yeah for sure. And I really don't want to see any more Kevin Hart movies!,
426/15/204341,11,426,train,Uncertain,Prioritize_STI,weak_rule,0.6,"cold seeker: no cross-session LTP, STI available",False,0,,Comedy:0.33; Horror:0.27; Children:0.25,"Recommender: Neighbors  (2014) wasn't too bad | Seeker: Yeah for sure. And I really don't want to see any more Kevin Hart movies! | Recommender: But I like all kinds of movies. I love The Princess Bride  (1987) , classics like On Golden Pond  (1981) | Seeker: Yes! The Princess Bride  (1987) was one of my favorites too!",
426/16/115463,11,426,train,Uncertain,Prioritize_STI,weak_rule,0.6,"cold seeker: no cross-session LTP, STI available",False,0,,Comedy:0.33; Horror:0.27; Children:0.25,"Seeker: Yeah for sure. And I really don't want to see any more Kevin Hart movies! | Recommender: But I like all kinds of movies. I love The Princess Bride  (1987) , classics like On Golden Pond  (1981) | Seeker: Yes! The Princess Bride  (1987) was one of my favorites too! | Recommender: But one of my favorites is Love and Basketball (2000)",
426/16/97819,11,426,train,Uncertain,Prioritize_STI,weak_rule,0.6,"cold seeker: no cross-session LTP, STI available",False,0,,Comedy:0.33; Horror:0.27; Children:0.25,"Seeker: Yeah for sure. And I really don't want to see any more Kevin Hart movies! | Recommender: But I like all kinds of movies. I love The Princess Bride  (1987) , classics like On Golden Pond  (1981) | Seeker: Yes! The Princess Bride  (1987) was one of my favorites too! | Recommender: But one of my favorites is Love and Basketball (2000)",
426/21/99324,11,426,train,Uncertain,Prioritize_STI,weak_rule,0.6,"cold seeker: no cross-session LTP, STI available",False,0,,Drama:0.33; Comedy:0.24; Adventure:0.11,"Seeker: Ok that's an older one right? | Seeker: I also love lawyer movies like Philadelphia  (1993) | Recommender: Yea, the year wasn't added on the drop down list it was from 1960 I think | Seeker: Ok gotcha.",
459/3/76177,1,459,train,Uncertain,Prioritize_STI,weak_rule,0.6,"cold seeker: no cross-session LTP, STI available",False,0,,Sci-Fi:0.67; Comedy:0.33,Recommender: Hello | Recommender: what types of movies do you enjoy | Seeker: Hi I like sci fi and comedy movies am a huge Star Wars fan and love Kevin Hart,
459/12/96329,1,459,train,Uncertain,Prioritize_STI,weak_rule,0.6,"cold seeker: no cross-session LTP, STI available",False,0,,Comedy:0.55; Sci-Fi:0.40; Action:0.05,Seeker: Blue Streak  (1999) does seem like it would be funny | Recommender: hmmm...i added that but its not showing up. its hilarious. he was a crook and after jail becomes a police officer to get back a hidden diamond he left before jail | Recommender: oohh thanks | Seeker: Wow that sounds very interesting I have to watch that.,
464/2/201744,14,464,train,Uncertain,Ask_Clarification,weak_rule,0.5,"weak, ambiguous evidence (sim=0.13)",False,0,Comedy:0.60; Horror:0.08; Action:0.08,Action:0.62; Adventure:0.12; Mystery:0.12,Recommender: Hi what kind of movies are you interested in? | Seeker: would you suggest me something like Mission: Impossible  (1996) I like those action ones,
464/2/131830,14,464,train,Uncertain,Ask_Clarification,weak_rule,0.5,"weak, ambiguous evidence (sim=0.13)",False,0,Comedy:0.60; Horror:0.08; Action:0.08,Action:0.62; Adventure:0.12; Mystery:0.12,Recommender: Hi what kind of movies are you interested in? | Seeker: would you suggest me something like Mission: Impossible  (1996) I like those action ones,
465/5/169012,14,465,train,Uncertain,Ask_Clarification,weak_rule,0.5,"weak, ambiguous evidence (sim=0.21)",False,0,Comedy:0.37; Action:0.12; Drama:0.11,Thriller:0.67; Drama:0.11; Horror:0.11,Recommender: Hi could you help me find a good movie to watch | Seeker: CAN YOU HELP ME FIND SOME GOOD MOVIES LIKE The Sixth Sense (1999) | Seeker: I THINK YOU ARE SUPPOSED TO RECOMMEND TO ME THIS ONE | Seeker: I LIKE SUSPENSE AND THRILLER,
465/9/89770,14,465,train,Uncertain,Ask_Clarification,weak_rule,0.5,"weak, ambiguous evidence (sim=0.21)",False,0,Comedy:0.37; Action:0.12; Drama:0.11,Thriller:0.67; Drama:0.11; Horror:0.11,Recommender: Unbreakable  (2000) with Bruce Willis and Samuel Jackson is pretty good | Seeker: IL KILE THE OLD Psycho BUT NOT THE NEW ONE | Seeker: OH I LIKE BOTH OF THOSE ACTORS. THANKS I WILL TY IT | Seeker: WHAT ABOUT ONE MORE OF ANY GENRE YOU LIKE,
466/5/162930,14,466,train,Consistent,Fuse,weak_rule,0.834,aligned genres (sim=0.67),False,0,Comedy:0.22; Drama:0.18; Horror:0.11,Comedy:0.60; Action:0.10; Adventure:0.10,"Seeker: hey could you help me find a movie to watch tonight | Seeker: yes, i like almost all genres | Seeker: i especially like things like The Princess Bride  (1987) | Seeker: funny but a little different",
466/13/94474,14,466,train,Consistent,Fuse,weak_rule,0.834,aligned genres (sim=0.67),False,0,Comedy:0.22; Drama:0.18; Horror:0.11,Comedy:0.60; Action:0.10; Adventure:0.10,Recommender: Mark Rylance | Recommender: Yes it is a Steven spielberg movie | Seeker: i liked most of speilbergs movies beside Minority Report  (2002) | Seeker: wonderful. could you suggest one more please,
475/7/81385,14,475,train,Consistent,Fuse,weak_rule,0.815,aligned genres (sim=0.63),False,0,Comedy:0.31; Drama:0.14; Romance:0.10,Crime:0.50; Comedy:0.25; Drama:0.25,"Recommender: The Big Lebowski I don't think I have ever seen that one. | Recommender: Legally Blonde (2001) yeah some like the movie and some don't I love Reese Witherspoon. | Seeker: its a cult classic, so good and such great actos. but i like most genres. The Godfather is another favorite | Seeker: i do love Reese, just not that particlar one. could you suggest one more please?",
475/7/191375,14,475,train,Consistent,Fuse,weak_rule,0.815,aligned genres (sim=0.63),False,0,Comedy:0.31; Drama:0.14; Romance:0.10,Crime:0.50; Comedy:0.25; Drama:0.25,"Recommender: The Big Lebowski I don't think I have ever seen that one. | Recommender: Legally Blonde (2001) yeah some like the movie and some don't I love Reese Witherspoon. | Seeker: its a cult classic, so good and such great actos. but i like most genres. The Godfather is another favorite | Seeker: i do love Reese, just not that particlar one. could you suggest one more please?",
502/2/188155,1,502,train,Consistent,Fuse,weak_rule,0.751,aligned genres (sim=0.50),False,0,Comedy:0.32; Musical:0.12; Horror:0.11,Comedy:0.25; Fantasy:0.25; Sci-Fi:0.25,"Recommender: Tell me what kinds of movies you enjoy. | Seeker: I love thrillers, sci-fi, fantasy, and comedy.",
502/6/193034,1,502,train,Complement,Fuse,weak_rule,0.684,STI adds new genre (sim=0.39),False,0,Comedy:0.32; Musical:0.12; Horror:0.11,Sci-Fi:0.40; Comedy:0.20; Fantasy:0.20,Recommender: Have you seen Kiss the Girls  (1997) ?  It's an exciting thriller. | Seeker: I am a huge Star Wars fan and love Kevin Hart and Will Farrell | Seeker: I have never heard of that movie before | Recommender: It's a thriller starring Morgan Freeman.,
502/9/120602,1,502,train,Complement,Fuse,weak_rule,0.713,STI adds new genre (sim=0.29),False,0,Comedy:0.32; Musical:0.12; Horror:0.11,Sci-Fi:0.48; Comedy:0.14; Fantasy:0.14,Recommender: It's a thriller starring Morgan Freeman. | Recommender: If you like Star Wars  you may enjoy Stargate  (1994) | Seeker: I like most of the movies I see with him in it I think I might like it. Is Stargate  (1994) a star trek movie? | Seeker: I like the Indiana Jones movies as well,
516/2/119144,1,516,train,Uncertain,Ask_Clarification,weak_rule,0.6,no STI genre evidence in recent seeker turns,False,0,Sci-Fi:0.35; Drama:0.13; Comedy:0.12,,Recommender: Hello | Seeker: Hi I am looking for a good new movie to watch,
516/5/157190,1,516,train,Uncertain,Ask_Clarification,weak_rule,0.6,no STI genre evidence in recent seeker turns,False,0,Sci-Fi:0.35; Drama:0.13; Comedy:0.12,,Seeker: Hi I am looking for a good new movie to watch | Recommender: Have you seen Wonder Woman  (2017) ? | Seeker: Any genre is great I am just bored watching Netflix | Seeker: I have seen that it is one of my favorites,
516/9/135508,1,516,train,Complement,Fuse,weak_rule,0.691,STI adds new genre (sim=0.36),False,0,Sci-Fi:0.35; Drama:0.13; Comedy:0.12,Thriller:0.56; Sci-Fi:0.17; Animation:0.06,"Recommender: The best movie in recent years is Arrival  (2016) | Seeker: I just watched The Boss Baby (2017) and really enjoyed that as well. I have not seen Arrival  (2016) yet | Recommender: It makes you think a little, if that doesn't bother you. | Seeker: No I like movies like that. Thrillers are in my top three genre picks. The Number 23 (2007) is a movie I can watch over and over",
516/10/185171,1,516,train,Complement,Fuse,weak_rule,0.691,STI adds new genre (sim=0.36),False,0,Sci-Fi:0.35; Drama:0.13; Comedy:0.12,Thriller:0.56; Sci-Fi:0.17; Animation:0.06,"Seeker: I just watched The Boss Baby (2017) and really enjoyed that as well. I have not seen Arrival  (2016) yet | Recommender: It makes you think a little, if that doesn't bother you. | Seeker: No I like movies like that. Thrillers are in my top three genre picks. The Number 23 (2007) is a movie I can watch over and over | Recommender: The scariest movie in recent years is The Babadook (2014)",
519/2/158208,1,519,train,Uncertain,Ask_Clarification,weak_rule,0.6,no STI genre evidence in recent seeker turns,False,0,Sci-Fi:0.33; Comedy:0.12; Action:0.07,,Recommender: Hi. | Seeker: Hi can you recommend any movies with Kevin Hart or Will Farrell,
519/7/198742,1,519,train,Consistent,Fuse,weak_rule,0.5,partially aligned (sim=0.34),False,0,Sci-Fi:0.33; Comedy:0.12; Action:0.07,Comedy:0.50; Crime:0.50,Seeker: I saw that and thought it was great | Seeker: I loved Get Hard (2015) | Recommender: I liked Get Hard (2015) | Seeker: They both are great together,
519/9/177276,1,519,train,Consistent,Fuse,weak_rule,0.5,partially aligned (sim=0.34),False,0,Sci-Fi:0.33; Comedy:0.12; Action:0.07,Comedy:0.50; Crime:0.50,Recommender: I liked Get Hard (2015) | Seeker: They both are great together | Recommender: Blades of Glory (2007) was weird but if you like Will Farrell it's good. | Seeker: I have not seen that movie yet,
519/14/98088,1,519,train,Consistent,Fuse,weak_rule,0.5,partially aligned (sim=0.35),False,0,Sci-Fi:0.33; Comedy:0.12; Action:0.07,Comedy:0.67; Crime:0.17; Romance:0.17,Seeker: Yeah I liked it | Recommender: Good comedies are very rare. | Seeker: Yes they are now a days. Daddy's Home  (2015) was great | Seeker: I think I will check out Blades of Glory (2007),
522/3/204334,19,522,train,Uncertain,Prioritize_STI,weak_rule,0.6,"cold seeker: no cross-session LTP, STI available",False,0,,Horror:1.00,Seeker: Hello! | Recommender: Hello! What kind of scary movies you like? | Seeker: Hmm. A &quot;scary&quot; movie I liked was @A Cabin In The Woods!,
522/7/187028,19,522,train,Uncertain,Prioritize_STI,weak_rule,0.6,"cold seeker: no cross-session LTP, STI available",False,0,,Horror:1.00,"Recommender: Thats a good one! Have you seen Happy Death Day  (2017) | Seeker: I haven't seen that. Is it like Annabelle  (2014) at all? | Seeker: Any old horror/scary movies would be nice too! :) | Recommender: No its about Tree Gelbman is a blissfully self-centered collegian who wakes up on her birthday in the bed of a student named Carter. As the morning goes on, Tree gets the eerie feeling that she's experienced the events of this day before. When a masked killer suddenly takes her life in a brutal attack, she once again magically wakes up in Carter's dorm room unharmed. Now, the frightened young woman must relive the same day over and over until she figures out who murdered her.",
522/16/114341,19,522,train,Uncertain,Prioritize_STI,weak_rule,0.6,"cold seeker: no cross-session LTP, STI available",False,0,,Horror:1.00,Seeker: I feel like someone who hates clowns is the prime audience to be scared by It. | Seeker: I'd watch it again too! | Seeker: Do you know any other movies similar to it (heh)? | Recommender: i didnt know she was scared of them until i surprised her. oops! and nope. not really. do you?,
544/18/142186,20,544,train,Consistent,Fuse,weak_rule,0.5,partially aligned (sim=0.41),False,0,Horror:0.43; Action:0.12; Adventure:0.12,Action:0.29; Adventure:0.29; Sci-Fi:0.29,"Seeker: some, ya, but not many | Seeker: i cant stand the Iron Man  (2008) . none of them | Recommender: The first two were great. The third, not so much. It felt like they did it for the sake of doing it. | Seeker: yah. I kinda feel that way about Thor: Ragnarok (2017)  and Thor: The Dark World",
558/1/85764,4,558,train,Uncertain,Ask_Clarification,weak_rule,0.6,no STI genre evidence in recent seeker turns,False,0,Comedy:0.61; Crime:0.29; Action:0.10,,Seeker: Can you recommend a super hero movie for me?,
558/5/78340,4,558,train,Consistent,Fuse,weak_rule,0.915,aligned genres (sim=0.83),False,0,Comedy:0.61; Crime:0.29; Action:0.10,Comedy:0.50; Action:0.12; Adventure:0.12,"Recommender: howdy, yes i think i can. Have you seen Kick-Ass | Recommender: That is a little different, but good. | Seeker: Is that one a comedy?  I really enjoyed The Avengers  (2012) | Recommender: no, i isnt a comedy, it has a lot of really good action in it.",
558/9/202175,4,558,train,Consistent,Fuse,weak_rule,0.914,aligned genres (sim=0.83),False,0,Comedy:0.61; Crime:0.29; Action:0.10,Comedy:0.50; Action:0.15; Adventure:0.15,Recommender: or maybe you would like Deadpool  (2016) | Recommender: that is funny | Seeker: I saw that one.  I enjoy ryan reynolds. | Seeker: He was also good in Green Lantern  (2011),
561/1/180970,4,561,train,Uncertain,Ask_Clarification,weak_rule,0.6,no STI genre evidence in recent seeker turns,False,0,Comedy:0.48; Romance:0.20; Action:0.12,,Seeker: Hi can you help me find a holiday movie?,
561/7/125517,4,561,train,Complement,Fuse,weak_rule,0.745,STI adds new genre (sim=0.18),False,0,Comedy:0.48; Romance:0.20; Action:0.12,Musical:0.58; Crime:0.13; Horror:0.13,Recommender: It is a great fun family film | Seeker: I like musicals.  Such as White Christmas  (1954) | Recommender: Have you got any ideas for a scary film please? | Seeker: I think classics like Psycho  are the scarriest.,
561/9/127676,4,561,train,Complement,Fuse,weak_rule,0.745,STI adds new genre (sim=0.18),False,0,Comedy:0.48; Romance:0.20; Action:0.12,Musical:0.58; Crime:0.13; Horror:0.13,Recommender: Have you got any ideas for a scary film please? | Seeker: I think classics like Psycho  are the scarriest. | Recommender: Love White Christmas  (1954) and also Holiday Inn  (1942) | Seeker: Yes!  Bing Crosby is the best with Christmas films.,
573/4/187028,14,573,train,Conflict,Prioritize_STI,weak_rule,0.8,rejects habitual genre Comedy,False,0,Comedy:0.40; Musical:0.11; Drama:0.10,Horror:0.75; Comedy:0.25,"Seeker: Hi | Seeker: Can you please help me find a good scary movie | Recommender: Hi what kind of movies do you like? | Seeker: something scary, but not a comedy scay like Scary Movie (2000)",
573/7/125431,14,573,train,Conflict,Prioritize_STI,weak_rule,0.8,rejects habitual genre Comedy,False,0,Comedy:0.40; Musical:0.11; Drama:0.10,Horror:0.80; Comedy:0.20,"Seeker: something scary, but not a comedy scay like Scary Movie (2000) | Recommender: It  (2017) was pretty good and scary | Recommender: Are you interested in Stephen King movies | Seeker: I did see that one and liked it a lot. almost as much as the original. Yes, Pet Sematary  (1989) is one of my favorites",
573/7/180231,14,573,train,Conflict,Prioritize_STI,weak_rule,0.8,rejects habitual genre Comedy,False,0,Comedy:0.40; Musical:0.11; Drama:0.10,Horror:0.80; Comedy:0.20,"Seeker: something scary, but not a comedy scay like Scary Movie (2000) | Recommender: It  (2017) was pretty good and scary | Recommender: Are you interested in Stephen King movies | Seeker: I did see that one and liked it a lot. almost as much as the original. Yes, Pet Sematary  (1989) is one of my favorites",
586/2/129362,20,586,train,Uncertain,Ask_Clarification,weak_rule,0.6,no STI genre evidence in recent seeker turns,False,0,Action:0.25; Adventure:0.21; Sci-Fi:0.21,,Recommender: Hi there | Seeker: hi! Any good movies to recommend?,
586/6/191297,20,586,train,Uncertain,Ask_Clarification,weak_rule,0.6,no STI genre evidence in recent seeker turns,False,0,Action:0.25; Adventure:0.21; Sci-Fi:0.21,,"Recommender: Sure! Have you seen Geostorm (2017) ? | Seeker: No. Who's in it? | Recommender: Gerrard Butler, Abbie Cornish and Ed Harris | Seeker: Oh okay. I like Ed Harris. He was great in @The Rock .",
586/11/93683,20,586,train,Consistent,Fuse,weak_rule,0.758,aligned genres (sim=0.52),False,0,Action:0.25; Adventure:0.21; Sci-Fi:0.21,Horror:0.50; Sci-Fi:0.50,"Seeker: Is that the one about the underwater station? | Recommender: It is. It's one I'm hoping for a remake for. | Seeker: You know what else they should remake? The Blob  (1988) | Recommender: Oh yes! But if I'm not mistaken, I believe they are doing a remake of that",
588/9/141578,14,588,train,Conflict,Prioritize_STI,weak_rule,0.57,opposing genres (sim=0.22),False,0,Comedy:0.43; Romance:0.15; Horror:0.10,Crime:0.42; Drama:0.25; Mystery:0.17,Seeker: lol | Recommender: what genres are you into | Seeker: i like stuff like Reservoir Dogs (1992) and Goodfellas (1990) | Seeker: got any suggestions for things like that?,
588/15/111488,14,588,train,Conflict,Prioritize_STI,weak_rule,0.57,opposing genres (sim=0.22),False,0,Comedy:0.43; Romance:0.15; Horror:0.10,Crime:0.42; Drama:0.25; Mystery:0.17,Seeker: I do love that movie.. | Recommender: Yeah. Hated to hear the latest news about his past. Sucks. But he's a phenomenal actor. | Seeker: i agree...one of the best. | Seeker: do yu have another suggestions for something similiar to those,
589/3/169376,20,589,train,Complement,Fuse,weak_rule,0.785,STI adds new genre (sim=0.05),False,0,Action:0.30; Sci-Fi:0.24; Horror:0.16,Fantasy:1.00,Recommender: Hi there! | Recommender: What sort of movies are you into? | Seeker: Fantasy. Especially high fantasy,
589/5/85036,20,589,train,Complement,Fuse,weak_rule,0.785,STI adds new genre (sim=0.05),False,0,Action:0.30; Sci-Fi:0.24; Horror:0.16,Fantasy:1.00,Recommender: What sort of movies are you into? | Seeker: Fantasy. Especially high fantasy | Recommender: Sounds like you might enjoy Highlander | Seeker: I've seen it. I've seen them all actually. I enjoyed them,
589/10/170376,20,589,train,Complement,Fuse,weak_rule,0.667,STI adds new genre (sim=0.44),False,0,Action:0.30; Sci-Fi:0.24; Horror:0.16,Fantasy:0.50; Sci-Fi:0.33; Action:0.08,"Seeker: @The MAtrix was great! But I didn't care for The Matrix Revolutions (2003) | Seeker: It drifted from the original story in my opinion | Recommender: I rather liked it. I own the bluray boxed set, lol | Seeker: Speaking of techy scifi, what about Blade Runner (1982) ?",
606/3/83192,32,606,train,Uncertain,Prioritize_STI,weak_rule,0.6,"cold seeker: no cross-session LTP, STI available",False,0,,Action:0.50; Adventure:0.25; Thriller:0.25,Recommender: Hey! What actors are you intrested in? | Recommender: I would like to help you find a good movie | Seeker: I really enjoy some of Harrison Ford's work. I think he was great in Air Force One  (1997) and Raiders of the Lost Ark (1981) .,
606/6/186461,32,606,train,Uncertain,Prioritize_STI,weak_rule,0.6,"cold seeker: no cross-session LTP, STI available",False,0,,Action:0.42; Adventure:0.25; Thriller:0.17,Seeker: I really enjoy some of Harrison Ford's work. I think he was great in Air Force One  (1997) and Raiders of the Lost Ark (1981) . | Recommender: he is a really good actor. I can't believe he didn't start until his late 30's. Have you seen What Lies Beneath (2000) | Recommender: that is one of my favorites of his. it is a thriller | Seeker: Yes I've seen that! I really liked him in Ender's Game  (2013) as well.,
606/6/156484,32,606,train,Uncertain,Prioritize_STI,weak_rule,0.6,"cold seeker: no cross-session LTP, STI available",False,0,,Action:0.42; Adventure:0.25; Thriller:0.17,Seeker: I really enjoy some of Harrison Ford's work. I think he was great in Air Force One  (1997) and Raiders of the Lost Ark (1981) . | Recommender: he is a really good actor. I can't believe he didn't start until his late 30's. Have you seen What Lies Beneath (2000) | Recommender: that is one of my favorites of his. it is a thriller | Seeker: Yes I've seen that! I really liked him in Ender's Game  (2013) as well.,
606/9/157590,32,606,train,Uncertain,Prioritize_STI,weak_rule,0.6,"cold seeker: no cross-session LTP, STI available",False,0,,Action:0.25; Adventure:0.22; Comedy:0.13,"Seeker: Yes I've seen that! I really liked him in Ender's Game  (2013) as well. | Recommender: I didn't see that one, but maybe you would like The Devil's Own (1997) with him and Brad Pitt or more of a light hearted one in Working Girl (1988) | Seeker: I did see Working Girl (1988) I enjoyed that one. Six Days, Seven Nights (1998) was enjoyable as well. | Recommender: I agree, that was funny. He can play a lot of different roles.",
610/10/90418,14,610,train,Complement,Fuse,weak_rule,0.658,STI adds new genre (sim=0.47),False,0,Thriller:0.23; Comedy:0.18; Drama:0.15,Crime:0.33; Sci-Fi:0.33; Drama:0.17,"Seeker: what are some of your favorites? | Recommender: I like sci fi, fantasy, action, thriller and sometimes documentaries | Seeker: Great, you could recommend something from those genres please | Recommender: @memento was good",
610/11/146771,14,610,train,Complement,Fuse,weak_rule,0.658,STI adds new genre (sim=0.47),False,0,Thriller:0.23; Comedy:0.18; Drama:0.15,Crime:0.33; Sci-Fi:0.33; Drama:0.17,"Recommender: I like sci fi, fantasy, action, thriller and sometimes documentaries | Seeker: Great, you could recommend something from those genres please | Recommender: @memento was good | Recommender: Memento Mori  (1999)",
610/13/157190,14,610,train,Complement,Fuse,weak_rule,0.653,STI adds new genre (sim=0.49),False,0,Thriller:0.23; Comedy:0.18; Drama:0.15,Sci-Fi:0.50; Drama:0.25; Thriller:0.25,Recommender: @memento was good | Recommender: Memento Mori  (1999) | Recommender: Memento  (2000) | Seeker: I haven't seen that one but have heard a lot about it. Maybe you could recomend one more?,
610/15/110605,14,610,train,Complement,Fuse,weak_rule,0.653,STI adds new genre (sim=0.49),False,0,Thriller:0.23; Comedy:0.18; Drama:0.15,Sci-Fi:0.50; Drama:0.25; Thriller:0.25,"Recommender: Memento  (2000) | Seeker: I haven't seen that one but have heard a lot about it. Maybe you could recomend one more? | Recommender: The best movie in recent years was Arrival  (2016) | Seeker: Sweet, I haven't seen that one either. I will check them out thank you",
613/3/177276,14,613,train,Conflict,Prioritize_STI,weak_rule,0.632,opposing genres (sim=0.15),False,0,Thriller:0.35; Horror:0.18; Drama:0.12,Comedy:1.00,Recommender: Hello | Seeker: hello | Seeker: do you know of any good comedies that I might like?,
613/4/191205,14,613,train,Conflict,Prioritize_STI,weak_rule,0.632,opposing genres (sim=0.15),False,0,Thriller:0.35; Horror:0.18; Drama:0.12,Comedy:1.00,Recommender: Hello | Seeker: hello | Seeker: do you know of any good comedies that I might like? | Recommender: How about Bad Santa (2003) ?,
613/8/173785,14,613,train,Conflict,Prioritize_STI,weak_rule,0.563,opposing genres (sim=0.23),False,0,Thriller:0.35; Horror:0.18; Drama:0.12,Comedy:0.50; Sci-Fi:0.33; Crime:0.08,Recommender: Office Space (1999) Is also great. | Seeker: I like slapstick and stuff. Wedding Crashers (2005) and Just Go with It (2011) are two of my favorites | Seeker: lol i love Bad Santa (2003) and also Office Space (1999) maybe another like that | Recommender: Do you like Will Farrell?,
